Term,LoanStatus,EstimatedEffectiveYield,EstimatedReturn,ProsperRatingAlpha,ProsperScore,BorrowerState,Occupation,EmploymentStatus,FirstRecordedCreditLine,CurrentCreditLines,TotalCreditLinespast7years,CurrentDelinquencies,DelinquenciesLast7Years,IncomeRange,LoanOriginationQuarter,DebtToIncomeRatio,LoanOriginalAmount,semester,year
60,Completed,0.1721,0.1272,B,6,IL,Retail Management,Employed,1991-10-18,15.0,30.0,0.0,0.0,"$100,000+",Q3 2012,0.21,17208,Q3,2012
36,Past Due (1-15 days),0.2896,0.1271,HR,5,CO,Other,Employed,1992-11-25,29.0,48.0,0.0,0.0,"$75,000-99,999",Q4 2012,0.24,4000,Q4,2012
60,Completed,0.2312,0.1422,C,6,CA,Truck Driver,Employed,1993-03-11,8.0,18.0,0.0,5.0,"$50,000-74,999",Q1 2012,0.27,15000,Q1,2012
60,Completed,0.1445,0.1115,A,9,HI,Clerical,Employed,2005-04-05,5.0,8.0,0.0,0.0,"$25,000-49,999",Q2 2012,0.15,2000,Q2,2012
36,Completed,0.09653,0.06663,A,8,LA,Executive,Employed,1977-02-01,13.0,55.0,0.0,4.0,"$100,000+",Q4 2013,0.23,25000,Q4,2013
60,Completed,0.1619,0.102,B,2,CA,Truck Driver,Employed,2005-07-12,12.0,20.0,0.0,4.0,"$50,000-74,999",Q1 2013,0.34,11728,Q1,2013
36,Chargedoff,0.2512,0.1137,E,2,GA,Other,Employed,2004-08-21,8.0,13.0,0.0,0.0,"$50,000-74,999",Q2 2013,0.18,4000,Q2,2013
36,Completed,0.1536,0.0912,C,4,FL,Other,Employed,2004-07-20,7.0,18.0,1.0,9.0,"$50,000-74,999",Q4 2012,0.18,7500,Q4,2012
60,Completed,0.1924,0.125,C,4,WA,Analyst,Employed,2001-07-29,11.0,17.0,1.0,0.0,"$75,000-99,999",Q1 2013,0.12,10000,Q1,2013
60,Completed,0.2332,0.1442,C,7,LA,Clerical,Employed,1995-06-01,2.0,13.0,0.0,3.0,"$25,000-49,999",Q2 2012,0.08,8500,Q2,2012
36,Past Due (61-90 days),0.1757,0.1147,C,6,NY,Administrative Assistant,Employed,1991-10-01,7.0,35.0,1.0,0.0,"$75,000-99,999",Q3 2011,0.11,15000,Q3,2011
36,Completed,0.0897,0.0567,A,10,NJ,Professional,Employed,2004-08-13,14.0,19.0,0.0,0.0,"$75,000-99,999",Q2 2012,0.14,5500,Q2,2012
60,Completed,0.1715,0.115,B,9,AZ,Medical Technician,Employed,1999-11-26,2.0,9.0,1.0,3.0,"$50,000-74,999",Q1 2012,0.07,8500,Q1,2012
12,Completed,0.0508,0.0178,A,9,MA,Computer Programmer,Employed,1993-08-16,9.0,35.0,0.0,0.0,"$100,000+",Q1 2012,0.14,3500,Q1,2012
60,Completed,0.207,0.142,C,5,MI,Executive,Employed,1994-11-22,14.0,43.0,0.0,0.0,"$50,000-74,999",Q2 2012,0.21,15000,Q2,2012
36,Completed,0.0862,0.0662,A,8,GA,Other,Employed,2004-05-05,12.0,46.0,0.0,0.0,"$25,000-49,999",Q2 2012,0.21,4000,Q2,2012
36,Completed,0.2534,0.1414,D,6,CO,Other,Other,1985-08-09,3.0,32.0,0.0,29.0,"$1-24,999",Q3 2011,0.06,2000,Q3,2011
36,Completed,0.2896,0.1246,HR,2,PA,Other,Employed,2000-04-22,12.0,24.0,1.0,5.0,"$50,000-74,999",Q2 2012,0.27,2000,Q2,2012
36,Completed,0.0621,0.0621,C,9,CA,Computer Programmer,Full-time,1996-08-01,12.0,20.0,0.0,0.0,"$75,000-99,999",Q3 2010,0.07,2000,Q3,2010
36,Completed,0.1346,0.0926,B,6,OH,Professional,Employed,1993-04-01,8.0,35.0,1.0,1.0,"$100,000+",Q2 2012,0.14,13000,Q2,2012
36,Completed,0.0796,0.0796,B,8,TX,Other,Employed,1997-02-23,14.0,26.0,0.0,0.0,"$75,000-99,999",Q3 2010,0.32,3000,Q3,2010
36,Chargedoff,0.2896,0.1246,HR,4,LA,Waiter/Waitress,Employed,1998-04-23,17.0,38.0,0.0,0.0,"$25,000-49,999",Q2 2012,0.4,3000,Q2,2012
36,Completed,0.2896,0.1246,HR,5,WV,Teacher,Employed,2001-09-26,7.0,13.0,0.0,0.0,"$25,000-49,999",Q4 2011,0.51,4000,Q4,2011
36,Chargedoff,0.2727,0.1257,E,6,TX,Teacher,Employed,2003-08-29,6.0,30.0,0.0,8.0,"$25,000-49,999",Q2 2012,0.12,4000,Q2,2012
36,Completed,0.1338,0.1338,C,5,NY,Retail Management,Full-time,2002-04-27,6.0,7.0,0.0,0.0,"$50,000-74,999",Q4 2009,0.32,10000,Q4,2009
36,Completed,0.2896,0.1246,HR,4,AZ,Professional,Employed,2002-03-05,15.0,24.0,0.0,0.0,"$50,000-74,999",Q2 2012,0.28,2000,Q2,2012
36,Completed,0.219,0.1065,D,2,TN,Laborer,Employed,2001-03-04,6.0,27.0,0.0,6.0,"$25,000-49,999",Q1 2013,0.4,8500,Q1,2013
36,Completed,0.2243,0.1243,D,4,NY,Professional,Full-time,1998-10-29,9.0,26.0,0.0,6.0,"$50,000-74,999",Q3 2011,0.22,5000,Q3,2011
36,Completed,0.0662,0.0662,A,9,CA,Administrative Assistant,Employed,1997-03-22,7.0,11.0,0.0,0.0,"$25,000-49,999",Q3 2010,0.33,4000,Q3,2010
36,Completed,0.1504,0.1504,D,8,CA,Computer Programmer,Employed,1998-07-01,9.0,17.0,0.0,21.0,"$50,000-74,999",Q4 2010,0.2,6000,Q4,2010
36,Completed,0.0823,0.0823,D,5,FL,Accountant/CPA,Employed,1998-10-31,13.0,43.0,0.0,11.0,"$50,000-74,999",Q3 2010,0.18,3974,Q3,2010
36,Completed,0.2328,0.1278,D,2,NY,Other,Employed,1996-12-04,11.0,38.0,0.0,0.0,"$50,000-74,999",Q4 2011,0.38,6000,Q4,2011
36,Completed,0.0822,0.0822,A,9,TX,Other,Full-time,1992-06-24,8.0,33.0,0.0,0.0,"$75,000-99,999",Q4 2009,0.17,10000,Q4,2009
36,Completed,0.1548,0.1548,D,8,MN,Analyst,Employed,2001-11-20,9.0,14.0,0.0,0.0,"$50,000-74,999",Q3 2010,0.1,3500,Q3,2010
36,Completed,0.234,0.136,D,7,OR,Computer Programmer,Full-time,1986-07-01,15.0,52.0,0.0,0.0,"$50,000-74,999",Q1 2011,0.1,3000,Q1,2011
36,Completed,0.1196,0.1196,C,9,KS,Retail Management,Full-time,1994-06-28,19.0,57.0,0.0,0.0,"$75,000-99,999",Q1 2010,0.2,3750,Q1,2010
36,Chargedoff,0.15,0.0935,B,9,CA,Nurse (RN),Employed,1997-05-08,8.0,16.0,0.0,0.0,"$100,000+",Q3 2012,0.14,7000,Q3,2012
36,Completed,0.0739,0.0565,AA,9,IL,Administrative Assistant,Employed,1992-04-30,15.0,34.0,0.0,0.0,"$25,000-49,999",Q3 2012,0.28,6500,Q3,2012
36,Completed,0.24,0.128,D,7,HI,Administrative Assistant,Employed,1993-10-01,6.0,10.0,0.0,0.0,"$50,000-74,999",Q4 2011,0.14,2500,Q4,2011
36,Completed,0.2977,0.1557,E,5,AL,Principal,Employed,1992-03-01,6.0,23.0,0.0,0.0,"$100,000+",Q1 2011,0.21,7000,Q1,2011
36,Completed,0.1007,0.0807,A,8,MI,Computer Programmer,Full-time,1998-11-10,4.0,18.0,0.0,0.0,"$75,000-99,999",Q4 2011,0.25,8000,Q4,2011
36,Completed,0.1693,0.1693,C,9,WI,Sales - Commission,Full-time,1997-10-25,9.0,27.0,0.0,40.0,"$50,000-74,999",Q1 2010,0.13,2500,Q1,2010
36,Completed,0.2909,0.1439,E,4,VA,Other,Employed,1983-12-20,5.0,18.0,6.0,8.0,"$25,000-49,999",Q4 2011,0.22,3500,Q4,2011
36,Past Due (16-30 days),0.1495,0.09,B,8,NY,Professional,Employed,1988-03-01,21.0,46.0,0.0,0.0,"$100,000+",Q4 2011,0.12,5000,Q4,2011
36,Chargedoff,0.2957,0.1487,E,4,MD,Other,Full-time,2007-12-14,5.0,5.0,0.0,0.0,"$1-24,999",Q3 2011,0.28,7500,Q3,2011
36,Completed,0.1346,0.0926,B,7,OK,Professional,Employed,2000-03-21,12.0,38.0,0.0,0.0,"$100,000+",Q2 2012,0.17,5000,Q2,2012
60,Chargedoff,0.1291,0.0961,A,9,TN,Professional,Employed,1993-12-01,6.0,47.0,0.0,0.0,"$25,000-49,999",Q1 2012,0.13,10000,Q1,2012
36,Completed,0.1757,0.1147,C,6,MI,Professional,Employed,1991-08-12,7.0,41.0,0.0,0.0,"$50,000-74,999",Q2 2011,0.32,15000,Q2,2011
12,Completed,0.0466,0.0406,AA,10,MA,Analyst,Employed,2001-01-10,5.0,18.0,0.0,0.0,"$50,000-74,999",Q2 2012,0.04,2000,Q2,2012
36,Completed,0.0708,0.0708,A,8,CA,Teacher,Part-time,1997-07-02,5.0,21.0,0.0,2.0,"$25,000-49,999",Q1 2010,0.29,9000,Q1,2010
60,Past Due (31-60 days),0.1702,0.1053,C,6,NJ,Police Officer/Correction Officer,Employed,2004-10-08,6.0,9.0,0.0,0.0,"$25,000-49,999",Q3 2013,0.2,10000,Q3,2013
36,Completed,0.1487,0.0888,B,8,TX,Professional,Employed,2003-12-08,17.0,27.0,1.0,0.0,"$50,000-74,999",Q4 2012,0.28,9000,Q4,2012
36,Completed,0.2896,0.1171,HR,4,MN,Other,Other,1980-02-01,14.0,29.0,0.0,1.0,"$25,000-49,999",Q3 2012,1.51,4000,Q3,2012
36,Chargedoff,0.1326,0.0906,B,8,GA,Other,Full-time,1994-07-08,6.0,30.0,0.0,0.0,"$50,000-74,999",Q1 2012,0.12,5500,Q1,2012
36,Completed,0.0788,0.0438,A,9,CA,Professional,Employed,1995-12-15,4.0,41.0,0.0,13.0,"$75,000-99,999",Q1 2011,0.03,4500,Q1,2011
36,Completed,0.2896,0.1246,HR,4,AR,Professional,Employed,1986-09-01,4.0,23.0,2.0,13.0,"$1-24,999",Q1 2012,0.17,4000,Q1,2012
36,Completed,0.1369,0.1369,HR,5,FL,Professional,Full-time,1995-11-01,7.0,56.0,2.0,21.0,"$50,000-74,999",Q4 2010,0.12,1000,Q4,2010
60,Chargedoff,0.1291,0.0911,A,8,AL,Skilled Labor,Employed,2000-01-18,13.0,30.0,0.0,0.0,"$25,000-49,999",Q1 2012,0.55,23000,Q1,2012
36,Completed,0.1635,0.104,B,8,CA,Accountant/CPA,Employed,1998-11-23,8.0,16.0,1.0,0.0,"$50,000-74,999",Q4 2011,0.1,8500,Q4,2011
36,Chargedoff,0.2534,0.1414,D,6,OH,Laborer,Employed,2006-06-21,7.0,14.0,0.0,0.0,"$1-24,999",Q2 2011,0.62,7500,Q2,2011
36,Completed,0.1326,0.0731,B,8,NC,Other,Employed,1974-04-01,7.0,28.0,0.0,1.0,"$50,000-74,999",Q1 2011,0.13,15000,Q1,2011
36,Completed,0.1051,0.0671,A,9,TN,Professional,Employed,1995-09-12,7.0,16.0,0.0,0.0,"$100,000+",Q4 2011,0.18,25000,Q4,2011
60,Completed,0.1512,0.0963,B,4,WV,Executive,Employed,1998-03-19,12.0,27.0,0.0,0.0,"$25,000-49,999",Q3 2013,0.35,10000,Q3,2013
60,Completed,0.2341,0.1492,C,7,FL,Bus Driver,Employed,1997-06-06,2.0,31.0,0.0,67.0,"$25,000-49,999",Q3 2012,0.17,14000,Q3,2012
36,Chargedoff,0.1434,0.1434,D,8,OH,Police Officer/Correction Officer,Employed,1993-12-29,7.0,15.0,0.0,12.0,"$25,000-49,999",Q3 2010,0.16,3500,Q3,2010
60,Chargedoff,0.2341,0.1492,C,7,CA,Computer Programmer,Employed,1998-06-30,9.0,24.0,0.0,0.0,"$25,000-49,999",Q3 2012,0.32,10000,Q3,2012
36,Completed,0.0608,0.0608,A,9,TX,Professional,Full-time,1994-05-24,24.0,48.0,0.0,0.0,"$50,000-74,999",Q1 2010,0.28,5000,Q1,2010
36,Completed,0.1783,0.0984,C,9,WA,Retail Management,Employed,2001-02-27,6.0,18.0,0.0,0.0,"$25,000-49,999",Q4 2012,0.14,7500,Q4,2012
36,Chargedoff,0.1285,0.0905,A,9,CA,Doctor,Employed,1989-12-25,10.0,25.0,1.0,1.0,"$100,000+",Q4 2011,0.12,25000,Q4,2011
60,Past Due (31-60 days),0.23673,0.10423,E,4,MI,Other,Employed,2003-10-09,10.0,20.0,0.0,0.0,"$25,000-49,999",Q4 2013,0.52,10000,Q4,2013
12,Completed,0.0845,0.0435,B,6,NY,Analyst,Employed,2005-10-02,9.0,14.0,0.0,0.0,"$75,000-99,999",Q1 2012,0.12,3500,Q1,2012
36,Completed,0.2534,0.1454,D,6,VA,Food Service Management,Employed,1993-02-10,0.0,20.0,0.0,4.0,"$25,000-49,999",Q1 2011,0.03,2000,Q1,2011
36,Completed,0.1326,0.0731,B,8,NC,Administrative Assistant,Employed,1990-08-17,6.0,52.0,0.0,12.0,"$25,000-49,999",Q1 2011,0.1,2500,Q1,2011
36,Completed,0.0524,0.0524,A,9,CT,Professional,Full-time,1993-02-01,16.0,41.0,0.0,0.0,"$75,000-99,999",Q1 2010,0.22,5000,Q1,2010
36,Completed,0.1679,0.0955,C,6,CO,Other,Employed,2008-01-26,5.0,7.0,0.0,0.0,"$1-24,999",Q4 2012,0.46,5000,Q4,2012
12,Completed,0.0487,0.0388,AA,9,CA,Administrative Assistant,Employed,2000-02-28,12.0,20.0,0.0,0.0,"$25,000-49,999",Q3 2012,0.3,8000,Q3,2012
36,Completed,0.0627,0.0627,AA,8,MN,Engineer - Mechanical,Full-time,1990-04-01,20.0,45.0,0.0,0.0,"$50,000-74,999",Q3 2009,0.29,10000,Q3,2009
60,Chargedoff,0.3057,0.1582,E,1,ID,Civil Service,Full-time,1999-01-04,19.0,53.0,0.0,0.0,"$25,000-49,999",Q3 2012,0.83,4000,Q3,2012
36,Completed,0.057,0.057,AA,10,TX,Executive,Employed,1982-10-15,9.0,22.0,0.0,0.0,"$75,000-99,999",Q4 2010,0.17,15000,Q4,2010
36,Chargedoff,0.2896,0.1246,HR,4,FL,Sales - Commission,Employed,1994-11-23,5.0,16.0,0.0,0.0,"$100,000+",Q2 2012,0.09,4000,Q2,2012
36,Completed,0.0764,0.0764,B,8,NJ,Civil Service,Full-time,1997-09-25,13.0,21.0,1.0,8.0,"$75,000-99,999",Q1 2010,0.13,6500,Q1,2010
36,Chargedoff,0.2437,0.1357,D,6,FL,Other,Employed,1996-07-24,8.0,36.0,0.0,9.0,"$25,000-49,999",Q1 2011,0.14,2000,Q1,2011
36,FinalPaymentInProgress,0.0849,0.06,A,8,GA,Analyst,Employed,1989-06-30,10.0,33.0,0.0,0.0,"$100,000+",Q4 2012,0.15,8000,Q4,2012
60,Completed,0.1274,0.095,A,7,CA,Accountant/CPA,Employed,1995-12-19,7.0,22.0,0.0,4.0,"$100,000+",Q4 2012,0.22,12771,Q4,2012
60,Completed,0.0965,0.0666,A,6,CA,Other,Employed,2000-11-26,14.0,31.0,0.0,0.0,"$100,000+",Q2 2013,0.14,22500,Q2,2013
36,Completed,0.2861,0.1561,E,4,FL,Medical Technician,Employed,1991-08-30,15.0,33.0,0.0,0.0,"$75,000-99,999",Q3 2011,0.24,3500,Q3,2011
60,Past Due (31-60 days),0.2701,0.1511,D,6,OH,Clerical,Employed,1981-06-10,10.0,29.0,1.0,13.0,"$25,000-49,999",Q2 2012,0.16,4500,Q2,2012
36,Completed,0.045,0.045,AA,10,MA,Food Service,Full-time,1996-05-29,8.0,23.0,0.0,0.0,"$1-24,999",Q1 2010,0.25,1700,Q1,2010
36,Completed,0.2896,0.1246,HR,4,AR,Other,Employed,1984-03-26,12.0,27.0,1.0,6.0,"$25,000-49,999",Q3 2012,0.5,4000,Q3,2012
36,Defaulted,0.1762,0.1762,E,6,NY,Construction,Full-time,1986-12-01,9.0,26.0,0.0,0.0,"$50,000-74,999",Q2 2010,0.31,5000,Q2,2010
36,Completed,0.2534,0.1414,D,6,NJ,Teacher,Employed,1996-06-26,5.0,18.0,2.0,2.0,"$50,000-74,999",Q3 2011,0.22,8000,Q3,2011
36,Completed,0.1309,0.1309,C,9,IN,Other,Full-time,1996-03-26,9.0,20.0,0.0,2.0,"$50,000-74,999",Q2 2010,0.16,5000,Q2,2010
12,Completed,0.0466,0.0381,AA,10,FL,Analyst,Employed,1997-06-27,14.0,25.0,0.0,0.0,"$50,000-74,999",Q3 2012,0.15,2000,Q3,2012
36,Chargedoff,0.2896,0.1246,HR,2,WI,Laborer,Employed,1993-04-29,18.0,56.0,1.0,0.0,"$25,000-49,999",Q2 2012,0.38,4000,Q2,2012
36,Completed,0.1384,0.1384,D,8,GA,Sales - Commission,Full-time,2006-03-10,3.0,5.0,0.0,0.0,"$25,000-49,999",Q3 2010,0.04,3000,Q3,2010
36,Completed,0.07,0.07,AA,7,MA,Other,Full-time,1996-12-05,9.0,34.0,0.0,0.0,"$50,000-74,999",Q4 2009,0.27,4500,Q4,2009
36,Completed,0.11477,0.07487,A,6,MA,Car Dealer,Employed,1998-01-28,13.0,27.0,0.0,0.0,"$75,000-99,999",Q4 2013,0.2,7500,Q4,2013
36,Chargedoff,0.2392,0.1202,D,6,NC,Professional,Employed,1996-01-22,4.0,27.0,0.0,13.0,"$25,000-49,999",Q1 2012,0.17,6500,Q1,2012
60,Completed,0.195,0.1385,B,8,CA,Professional,Employed,1993-03-01,13.0,34.0,0.0,0.0,"$100,000+",Q2 2012,0.19,10000,Q2,2012
36,Completed,0.1437,0.1437,D,8,NC,Teacher's Aide,Full-time,1993-11-30,12.0,24.0,0.0,0.0,"$25,000-49,999",Q3 2010,0.23,3500,Q3,2010
36,Chargedoff,0.2896,0.1171,HR,4,WI,Professional,Employed,1994-06-20,3.0,23.0,0.0,6.0,"$25,000-49,999",Q3 2012,0.22,2500,Q3,2012
36,Completed,0.0746,0.0746,C,10,OH,Accountant/CPA,Full-time,1998-10-24,12.0,35.0,0.0,0.0,"$25,000-49,999",Q3 2009,0.84,1000,Q3,2009
36,Completed,0.1067,0.1067,D,7,IL,Laborer,Employed,1988-07-01,6.0,28.0,0.0,0.0,"$50,000-74,999",Q4 2010,0.1,2500,Q4,2010
36,Completed,0.1773,0.1773,E,6,CA,Accountant/CPA,Full-time,1996-12-24,13.0,29.0,0.0,0.0,"$50,000-74,999",Q4 2009,0.32,4000,Q4,2009
36,Completed,0.2643,0.1168,E,2,MN,Professional,Employed,1989-07-27,14.0,49.0,0.0,0.0,"$25,000-49,999",Q2 2013,0.18,4000,Q2,2013
36,Completed,0.0529,0.0529,A,10,CA,Other,Full-time,2000-09-26,7.0,14.0,0.0,0.0,"$100,000+",Q4 2009,0.06,1500,Q4,2009
36,Completed,0.139,0.139,D,7,NV,Other,Full-time,1991-08-12,8.0,20.0,0.0,4.0,"$25,000-49,999",Q2 2010,0.16,2060,Q2,2010
36,Past Due (1-15 days),0.2534,0.1414,D,7,NJ,Retail Management,Employed,2003-10-29,11.0,16.0,0.0,0.0,"$25,000-49,999",Q2 2011,0.18,2500,Q2,2011
60,FinalPaymentInProgress,0.1952,0.0927,D,4,MD,Professional,Employed,1998-11-01,11.0,22.0,0.0,0.0,"$100,000+",Q4 2013,0.32,6000,Q4,2013
36,Completed,0.2437,0.1357,D,6,IL,Engineer - Mechanical,Employed,1993-05-16,10.0,20.0,0.0,0.0,"$75,000-99,999",Q1 2011,0.29,6500,Q1,2011
60,Chargedoff,0.2445,0.1595,C,5,AL,Other,Other,1997-03-31,12.0,32.0,0.0,0.0,"$1-24,999",Q4 2011,7.27,10000,Q4,2011
36,Defaulted,0.2884,0.1394,E,2,NY,Professional,Employed,1993-02-01,12.0,18.0,0.0,31.0,"$25,000-49,999",Q4 2011,0.37,7500,Q4,2011
36,Past Due (61-90 days),0.2896,0.1271,HR,3,OH,Sales - Retail,Employed,1963-03-31,6.0,14.0,3.0,0.0,"$1-24,999",Q3 2012,1.54,4000,Q3,2012
36,Completed,0.0545,0.0545,AA,10,SC,Executive,Employed,1990-05-30,9.0,49.0,0.0,0.0,"$100,000+",Q4 2010,0.15,4200,Q4,2010
60,Past Due (16-30 days),0.2312,0.1422,C,7,CT,Other,Employed,1998-01-05,14.0,17.0,0.0,0.0,"$25,000-49,999",Q2 2012,0.31,10000,Q2,2012
60,Completed,0.2612,0.1237,E,3,NY,Professional,Employed,1999-12-24,8.0,17.0,0.0,0.0,"$100,000+",Q1 2013,0.11,4000,Q1,2013
60,Completed,0.2332,0.1442,C,6,IN,Police Officer/Correction Officer,Employed,1994-12-14,7.0,26.0,0.0,0.0,"$25,000-49,999",Q2 2012,0.48,15000,Q2,2012
36,Completed,0.1285,0.0905,A,9,CA,Computer Programmer,Employed,1963-02-15,7.0,25.0,0.0,0.0,"$100,000+",Q4 2011,0.22,25000,Q4,2011
36,Completed,0.1326,0.0906,B,5,WA,Professional,Employed,1996-06-06,11.0,30.0,0.0,0.0,"$50,000-74,999",Q2 2012,0.38,5000,Q2,2012
12,Completed,0.2452,0.1067,E,4,OH,Nurse (RN),Employed,1994-01-01,14.0,46.0,1.0,13.0,"$25,000-49,999",Q4 2011,0.28,2700,Q4,2011
36,Defaulted,0.234,0.115,D,5,AL,Teacher,Employed,1997-03-09,11.0,31.0,0.0,0.0,"$25,000-49,999",Q2 2012,0.47,13000,Q2,2012
60,Completed,0.2015,0.142,B,8,OR,Executive,Employed,2008-09-19,3.0,5.0,0.0,0.0,"$100,000+",Q4 2011,0.06,15000,Q4,2011
36,Completed,0.2957,0.1487,E,4,MS,Nurse (RN),Employed,2004-02-06,10.0,20.0,0.0,0.0,"$50,000-74,999",Q2 2011,0.34,3500,Q2,2011
60,Chargedoff,0.1715,0.1295,B,7,OR,Clerical,Employed,2003-05-16,2.0,31.0,0.0,8.0,"$1-24,999",Q1 2012,0.53,5000,Q1,2012
36,Completed,0.2064,0.1039,D,5,NH,Other,Employed,1988-10-01,9.0,29.0,0.0,0.0,"$50,000-74,999",Q4 2012,0.2,7350,Q4,2012
36,Defaulted,0.2896,0.1271,HR,5,MI,Administrative Assistant,Employed,1984-01-01,11.0,40.0,0.0,0.0,"$50,000-74,999",Q3 2012,0.24,2500,Q3,2012
60,Completed,0.1715,0.112,B,8,VA,Construction,Employed,2004-01-28,7.0,10.0,0.0,0.0,"$25,000-49,999",Q1 2012,0.19,15000,Q1,2012
36,Completed,0.1424,0.1424,D,7,KS,Sales - Retail,Full-time,1994-11-01,3.0,9.0,0.0,0.0,"$25,000-49,999",Q1 2010,0.13,2000,Q1,2010
36,Completed,0.285,0.12,HR,4,OR,Professional,Employed,1995-10-05,14.0,60.0,0.0,3.0,"$50,000-74,999",Q4 2011,0.35,4000,Q4,2011
36,Completed,0.0524,0.0524,A,9,IL,Sales - Commission,Part-time,1998-11-24,10.0,31.0,0.0,0.0,"$25,000-49,999",Q1 2010,0.29,5000,Q1,2010
36,Completed,0.0662,0.0662,A,9,AR,Executive,Employed,1994-09-01,16.0,47.0,0.0,0.0,"$100,000+",Q4 2010,0.13,15000,Q4,2010
36,Completed,0.1635,0.104,B,8,FL,Analyst,Employed,1998-08-30,7.0,28.0,3.0,0.0,"$100,000+",Q4 2011,0.08,15000,Q4,2011
12,Completed,0.048,0.0381,AA,9,CA,Analyst,Employed,1975-05-01,6.0,11.0,0.0,0.0,"$75,000-99,999",Q4 2012,0.21,5000,Q4,2012
36,Completed,0.2848,0.1148,HR,2,NY,Professional,Employed,2003-10-27,22.0,35.0,0.0,0.0,"$25,000-49,999",Q3 2011,0.36,4000,Q3,2011
36,Completed,0.1252,0.0803,B,7,VA,Analyst,Employed,1999-10-12,14.0,32.0,0.0,0.0,"$100,000+",Q1 2013,0.13,5000,Q1,2013
60,Completed,0.1829,0.1105,C,5,IL,Executive,Employed,1996-07-05,22.0,69.0,0.0,0.0,"$100,000+",Q2 2013,0.26,12500,Q2,2013
36,Completed,0.0618,0.0618,A,9,IL,Sales - Commission,Full-time,1991-06-16,5.0,33.0,1.0,4.0,"$25,000-49,999",Q3 2010,0.19,2500,Q3,2010
36,Chargedoff,0.2799,0.1124,HR,5,KY,Sales - Commission,Employed,1995-08-01,11.0,31.0,0.0,0.0,"$75,000-99,999",Q4 2012,0.28,2100,Q4,2012
36,Completed,0.2896,0.1246,HR,3,OR,Accountant/CPA,Employed,1975-06-24,7.0,36.0,0.0,12.0,"$25,000-49,999",Q2 2012,0.35,4000,Q2,2012
36,Completed,0.0555,0.0555,AA,10,NJ,Executive,Full-time,1986-09-30,11.0,15.0,0.0,0.0,"$50,000-74,999",Q4 2009,0.15,3100,Q4,2009
36,Chargedoff,0.156,0.156,D,6,FL,Other,Full-time,1992-08-07,7.0,24.0,1.0,0.0,"$25,000-49,999",Q2 2010,0.14,5000,Q2,2010
36,Completed,0.1504,0.1504,D,7,VA,Analyst,Employed,1994-09-18,4.0,21.0,1.0,23.0,"$25,000-49,999",Q4 2010,0.05,2500,Q4,2010
36,Completed,0.2896,0.1171,HR,4,KY,Skilled Labor,Employed,1987-10-23,7.0,15.0,0.0,0.0,"$25,000-49,999",Q3 2012,0.33,4000,Q3,2012
36,Past Due (16-30 days),0.2727,0.1257,E,6,NV,Other,Employed,2005-03-23,5.0,10.0,0.0,6.0,"$25,000-49,999",Q2 2012,0.13,3000,Q2,2012
36,Completed,0.1504,0.1504,D,6,NY,Teacher,Employed,1992-07-01,14.0,30.0,0.0,0.0,"$100,000+",Q4 2010,0.23,8000,Q4,2010
36,Completed,0.1361,0.1361,B,8,OH,Professional,Full-time,1998-01-13,15.0,30.0,0.0,0.0,"$50,000-74,999",Q4 2009,0.48,5000,Q4,2009
36,Completed,0.0799,0.0604,AA,10,AZ,Doctor,Employed,2003-06-25,9.0,12.0,1.0,2.0,"$100,000+",Q3 2011,0.03,25000,Q3,2011
36,Completed,0.0708,0.0708,A,8,IL,Engineer - Mechanical,Full-time,2001-06-28,5.0,13.0,0.0,0.0,"$50,000-74,999",Q1 2010,0.09,10000,Q1,2010
36,Completed,0.0608,0.0608,A,9,CA,Other,Full-time,1998-06-26,5.0,41.0,0.0,2.0,"$25,000-49,999",Q2 2010,0.11,2000,Q2,2010
36,Completed,0.1855,0.0985,C,8,IN,Other,Employed,1992-09-11,9.0,26.0,0.0,0.0,"$25,000-49,999",Q1 2011,0.32,7500,Q1,2011
36,Completed,0.2848,0.1148,HR,3,MI,Other,Employed,1999-03-31,6.0,11.0,1.0,9.0,"$1-24,999",Q3 2011,1.04,2500,Q3,2011
36,Completed,0.055,0.055,AA,10,VA,Sales - Commission,Full-time,1996-06-26,13.0,32.0,0.0,0.0,"$75,000-99,999",Q1 2010,0.06,3700,Q1,2010
36,Completed,0.0782,0.0782,A,9,WA,Military Enlisted,Full-time,1993-09-13,9.0,19.0,1.0,3.0,"$50,000-74,999",Q1 2010,0.16,3500,Q1,2010
36,Chargedoff,0.2917,0.0887,HR,2,OH,Other,Employed,2001-07-16,6.0,16.0,0.0,2.0,"$25,000-49,999",Q2 2011,0.23,4000,Q2,2011
60,Chargedoff,0.2355,0.123,D,4,CA,Retail Management,Employed,2004-03-30,9.0,20.0,3.0,14.0,"$75,000-99,999",Q1 2013,0.11,15000,Q1,2013
36,Completed,0.16214,0.08724,C,3,NY,Other,Employed,1988-03-31,13.0,38.0,0.0,0.0,"$75,000-99,999",Q4 2013,0.23,5200,Q4,2013
36,Completed,-0.0866,-0.0866,HR,2,MI,Nurse's Aide,Full-time,1997-07-29,5.0,10.0,0.0,0.0,"$25,000-49,999",Q4 2009,0.29,3000,Q4,2009
36,Completed,0.2861,0.1561,E,2,MS,Skilled Labor,Full-time,1998-07-25,11.0,26.0,1.0,5.0,"$50,000-74,999",Q2 2011,0.28,7500,Q2,2011
